Company Name,Company Type,SPCIQ Key,Table Type,HOLDER,COMMON_STOCK_EQUIVALENT_HELD__ACTUAL_,PERCENT_OF_COMMON_SHARES_OUTSTANDING____,MARKET_VALUE___M_,CHANGE_IN_SHARES__ACTUAL_,CHANGE____,POSITION_DATE,SOURCE,PORTFOLIO_TURNOVER_CATEGORY,PORTFOLIO_TURNOVER____,INVESTMENT_ORIENTATION,EQUITY_ASSETS___M_,CITY,STATE,COUNTRY,CALCULATED_INVESTMENT_STYLE,CALCULATED_MARKET_CAP_EMPHASIS,OWNER_TYPE,FUNDS,DERIVATIVES_EX__60_DAYS,INSTITUTION_IS_AN_ACTIVIST_
"Chengxin Lithium Group Co., Ltd. - 深圳盛新锂能集团股份有限公司",Public,45316580,Shareholders,Shenzhen Chengtun Industrial Development Co. Ltd.,"161,627,012",17.94,305.8,"-11,527,789",-6.66,11/16/2024,Exchange Announcement,,,,,,,China,Unclassified,,Corporations (Private),,,No
"Chengxin Lithium Group Co., Ltd. - 深圳盛新锂能集团股份有限公司",Public,45316580,Shareholders,BYD Company Ltd.,"46,630,917",5.18,88.2,0,,9/30/2024,CNINFO Periodic Filing,,,,,Shenzhen,,China,Unclassified,,Corporations (Public),,,No
"Chengxin Lithium Group Co., Ltd. - 深圳盛新锂能集团股份有限公司",Public,45316580,Shareholders,Sichuan Development Holding Co.Ltd.,"27,154,358",3.01,51.4,0,,9/30/2024,CNINFO Periodic Filing,,,,,Chengdu,,China,Unclassified,,Corporations (Private),,,No
"Chengxin Lithium Group Co., Ltd. - 深圳盛新锂能集团股份有限公司",Public,45316580,Shareholders,UBS SDIC Fund Management Co. Ltd.,"22,021,184",2.44,41.7,0,,6/30/2024,Aggregated Mutual Funds,Low,42.97,Active,590.09,,,China,GARP,Multi Cap,Traditional Investment Managers,6.0,,No
"Chengxin Lithium Group Co., Ltd. - 深圳盛新锂能集团股份有限公司",Public,45316580,Shareholders,Xiamen Tunchu Investment Partnership (Limited Partnership),"20,625,452",2.29,39.0,0,,11/16/2024,Exchange Announcement,,,,,,,China,Unclassified,,Corporations (Private),,,No
"Chengxin Lithium Group Co., Ltd. - 深圳盛新锂能集团股份有限公司",Public,45316580,Shareholders,Jian Hua Li,"20,549,000",2.28,38.9,0,,10/27/2023,CNINFO Periodic Filing,,,,,,,,,,Individuals/Insiders,,,No
"Chengxin Lithium Group Co., Ltd. - 深圳盛新锂能集团股份有限公司",Public,45316580,Shareholders,Xiao Qi Li,"18,440,000",2.05,34.9,0,,6/30/2023,CNINFO Periodic Filing,,,,,,,,,,Individuals/Insiders,,,No
"Chengxin Lithium Group Co., Ltd. - 深圳盛新锂能集团股份有限公司",Public,45316580,Shareholders,SDIC Unity Capital Co. Ltd.,"13,523,885",1.5,25.6,0,,9/30/2024,CNINFO Periodic Filing,,,,,Beijing,,China,Unclassified,,VC/PE Firms (<5% stake),,,No
"Chengxin Lithium Group Co., Ltd. - 深圳盛新锂能集团股份有限公司",Public,45316580,Shareholders,CS Capital Co. Ltd.,"13,523,885",1.5,25.6,0,,9/30/2024,CNINFO Periodic Filing,,,,,Beijing,,China,Unclassified,,VC/PE Firms (<5% stake),1.0,,No
"Chengxin Lithium Group Co., Ltd. - 深圳盛新锂能集团股份有限公司",Public,45316580,Shareholders,China Southern Asset Management Co. Ltd.,"12,178,304",1.35,23.0,0,,6/30/2024,Aggregated Mutual Funds,Low,24.55,Active,"6,337.57",,,China,GARP,Mid Cap,Traditional Investment Managers,9.0,,No
