Company Name,Company ID,Company Type,Origin,Is Subsidiary,Parent,Property Name,Also Known As,Property ID,Royalty,Equity,Controlling Ownership,Operator,Country/ Region,Country/Region Risk Score & Outlook,Development Stage,Status,Commodity(s),Primary Commodity,Primary Reserves and Resources,Unit,Total In-Situ Value ($M),Reserves & Resources As Of Date,Project Type,Coordinates,Coordinate Accuracy,Map Link,Construction Start,Production Start,Closure ,Sources/Notes
Rio Tinto Group,299199,Public,United Kingdom,No,Rio Tinto Group,Salar de Ratones,Ratones,37630,1.0,,,Unnamed Owner,Argentina,2.7 High,Exploration,Active,Lithium,Lithium,,,,,Brine,"-25.143860,-66.793560",Exact,,,,,
Rio Tinto Group,299199,Public,United Kingdom,No,Rio Tinto Group,Sal de Vida Extension,"Augustin claim, Luna Blanca claim",59728,,70.0,70,Rio Tinto Group,Argentina,2.7 High,Production - Operating,Active,"Lithium, Potash, Potassium Chloride",Lithium,,,,,Brine,"-25.313150,-66.876700",Exact,,,,,
Rio Tinto Group,299199,Public,United Kingdom,No,Rio Tinto Group,Mt Cattlin,"Deep Purple, Deep Purple South, E74/570, E74/571, E74/589, Enduro, Mount Cattlin, Sirdar",78228,,100.0,100,Rio Tinto Group,Australia,1.4 Moderate,Target Outline,Active,Lithium,Lithium,,,,,Project,"-33.559370, 120.058260",Exact,,,,,
Argentina Lithium & Energy Corp.,7967814,Public,Canada,No,Argentina Lithium & Energy Corp.,Rincon West,"Demasia Villanoveno II, Don Fermin, Paso de Sico, Ramos, Riconcita II, Rincon, Villanoveno II",91800,,100.0,100,AR Lithium & Energy Corp.,Argentina,2.7 High,Target Outline,Active,Lithium,Lithium,,,,,Project,"-24.064130, -67.222060",Exact,,,,,
Argentina Lithium & Energy Corp.,7967814,Public,Canada,No,Argentina Lithium & Energy Corp.,Pocitos West,"Centenario, Paso de Sico, Pocitos, Pocitos 200, Pocitos 201, Pocitos 202, Pocitos 203, Pocitos 204, Pocitos 205, Pocitos 206, Pocitos 207, Pocitos 208, Pocitos 209, Pocitos 211, Pocitos Basin",37960,,100.0,100,AR Lithium & Energy Corp.,Argentina,2.7 High,Target Outline,Active,"Lithium, Potash, Magnesium",Lithium,,,,,Brine,"-24.487880,-67.109260",Exact,,,,,
Argentina Lithium & Energy Corp.,7967814,Public,Canada,No,Argentina Lithium & Energy Corp.,Incahuasi,"Incahuasi Salar, Lithium Triangle, Puna region, Salar, Salar de Incahuasi",79956,,100.0,100,AR Lithium & Energy Corp.,Argentina,2.7 High,Target Outline,Active,"Lithium, Magnesium",Lithium,,,,,Project,"-26.355840,-67.647560",Exact,,,,,
Argosy Minerals Limited,880521,Public,Australia,No,Argosy Minerals Limited,Rincon,"Angelica, Chiquita, Irene, Jujuy, Maria, Mina Jujuy, Mina Reina, Mina Reyna, Mina Romulo, Mina San Jose, Mina San Marcos, Mina Tincal, Nelly, Praga, Puma, Puna, Reyna, Salar del Rincon, Salonix, Talisman, Telita, Tigre",78109,,90.0,100,Argosy Minerals Ltd.,Argentina,2.7 High,Commissioning,Active,"Lithium, Potash",Lithium,277498.0,tonnes,4497.7,1/15/24,Brine,"-24.203740,-66.990090",Exact,,,,,
Prairie Lithium Limited,7657671,Public,Australia,No,Prairie Lithium Limited,Prairie Lithium,"Dawson Bay, Duperow, Flat Lake, Lower Wymark, Middle Wymark, Pad #1, Pad #2, Pad #3, Prairie, Saskatoon, Seward, Souris, Upper Wymark, Well #3",90112,,100.0,100,Prairie Lithium Limited,Canada,1.4 Moderate,Construction Started,Active,Lithium,Lithium,2545000.0,tonnes,41249.4,12/13/2023,Brine,"49.040000, -103.606030",Exact,,,2027,,
Aruma Resources Limited,104545687,Public,Australia,No,Aruma Resources Limited,Mt Deans,"Mount Deans, P63/2063",86795,,100.0,100,Aruma Resources Ltd.,Australia,1.4 Moderate,Exploration,Active,"Lithium, Tantalum, Lanthanides, Tin, Rubidium, Caesium, Potash, Niobium",Lithium,,,,,Project,"-32.283930,121.786050",Exact,,na,na,na,
Askari Metals Limited,714383997,Public,Australia,No,Askari Metals Limited,Uis,"Corridor of Interest, DP, EPL 7345, EPL 7626, EPL 8345, EPL 8535, EPL7345, Eve, GP, K10, K9, Kestrel, Kookerboom, Martial, MW, OP, PS, Tawny, Uis Mine View, Zebedeus 1",89762,,100.0,100,Askari Metals Ltd.,Namibia,2.0 Elevated,Target Outline,Active,"Lithium, Tantalum, Tin, Rubidium, Caesium, Spodumene",Lithium,,,,,Project,"-21.251950, 14.859440",Exact,,,,,
